"lp.","Cena.jednostkowa.netto","Z.powierzchnia.przynalezna","Data.transakcji","Rodzaj.transakcji","Sprzedajacy","Kupujacy","Wojewodztwo","Powiat","Gmina","MiejscowoSÄ.","Obreb","Dzielnica","street","Numer.administracyjny","housenumber","Sposob.uzytkowania.lokalu","Pow..lokalu.obliczeniowa","liczba.pokoi","Stan.techniczny.lokalu","Rok.budowy","Cena.netto","Adres","lon","lat","LiczbaSzkolWPromieniuKilometra","OdlegloscDoNajblizszejSzkoly","LiczbaPrzystankowWPromieniuKilometra","OdlegloscDoNajblizszegoPrzystanku","LiczbaPlacowekMedycznychWObrebieKilometra","OdlegloscDoNajblizszejPlacowkiMedycznej","LiczbaMarketowWObrebieKilometra","OdlegloscDoNajblizszegoMarketu","Odległość.do.centrum.w.m"
1,2293.97,"Tak",42671,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","98","12","mieszkalny",58.85,"2","","",135000,"1 Maja 98",19.052338,50.2589879,10,293.524300052279,33,142.294982706183,13,260.684108919342,13,260.684108919342,2242
2,3083.25,"Nie",42227,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","124","23","mieszkalny",48.65,"2","","",150000,"1 Maja 124",19.055923,50.2587539,6,865.440192816228,33,37.8389138297526,13,33.1748539041697,13,33.1748539041697,2616
3,1794.2,"Nie",42214,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","124","30","mieszkalny",37.9,"1","","",68000,"1 Maja 124",19.055923,50.2587539,6,865.440192816228,33,37.8389138297526,13,33.1748539041697,13,33.1748539041697,2616
4,2401.15,"Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny",62.47,"3","","",150000,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
5,2401.15,"Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny",62.47,"3","","",150000,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
6,2401.15,"Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny",62.47,"3","","",150000,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
7,3005.71,"Nie",42797,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","29","mieszkalny",66.54,"3","","",2e+05,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
9,2687.99,"Nie",42419,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","30","mieszkalny",29.39,"2","","",79000,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
12,3257.98,"Tak",42396,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","1 Maja","148","11","mieszkalny",45.12,"2","","",147000,"1 Maja 148",19.060313,50.2592099,6,224.662413964722,34,35.4774181309466,6,120.125433065369,6,120.125433065369,2820
13,3460.45,"Nie",42396,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","148","11","mieszkalny",42.48,"2","","",147000,"1 Maja 148",19.060313,50.2592099,6,224.662413964722,34,35.4774181309466,6,120.125433065369,6,120.125433065369,2820
14,2426.28,"Nie",42209,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","150","19","mieszkalny",53.58,"3","","",130000,"1 Maja 150",19.060633,50.259218,6,263.030476481904,31,18.6006778536707,6,120.013182158227,6,120.013182158227,2874
15,2542.37,"Nie",42753,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","110A","20","mieszkalny",47.2,"2","","",120000,"1 Maja 110A",19.054356,50.2583149,6,940.848984792096,32,155.615326686539,13,234.115604066065,13,234.115604066065,2477
16,2330.77,"Nie",42647,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","114C","20","mieszkalny",49.34,"2","","",115000,"1 Maja 114C",19.0554369,50.258007,6,1404.11818278882,33,216.28718292128,13,76.1998419335031,13,76.1998419335031,2578
17,3791.21,"Nie",42450,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","158D","3","mieszkalny",36.4,"2","","",138000,"1 Maja 158D",19.0618899,50.2589009,6,624.691557187696,28,47.7997511765232,5,25.5769559503803,5,25.5769559503803,2994
18,3421.77,"Tak",42450,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Zawodzie","1 Maja","158d","3","mieszkalny",40.33,"2","","",138000,"1 Maja 158d",19.0618899,50.2589009,6,624.691557187696,28,47.7997511765232,5,25.5769559503803,5,25.5769559503803,2994
19,2684.22,"Tak",42277,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","162F","9","mieszkalny",58.49,"3","","",157000,"1 Maja 162F",19.0624049,50.258277,6,1050.19867915368,28,207.110680557452,4,137.212087141598,4,137.212087141598,3113
20,2684.22,"Nie",42277,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","1 Maja","162F","9","mieszkalny",58.49,"3","","",157000,"1 Maja 162F",19.0624049,50.258277,6,1050.19867915368,28,207.110680557452,4,137.212087141598,4,137.212087141598,3113
21,2553.53,"Tak",42628,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","162H","1","mieszkalny",50.91,"2","","",130000,"1 Maja 162H",19.062426,50.2580509,6,1179.69334513712,28,284.165371729495,4,202.291502023385,4,202.291502023385,3138
22,2373.35,"Nie",42585,"umowa przeniesienia praw","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4a","14","mieszkalny",43.82,"1","","",104000,"18 sierpnia 4a",19.004376,50.261465,23,1954.35191403237,56,361.436791975533,19,605.73806278699,19,605.73806278699,1748
23,3551.77,"Nie",42598,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","1","1","mieszkalny",38.15,"1","","",135500,"18 sierpnia 1",19.0035269,50.2619879,19,1878.99403956374,41,258.548397328453,14,417.705900162744,14,417.705900162744,1744
24,2547.41,"Nie",42523,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","1","3","mieszkalny",35.33,"1","","",90000,"18 sierpnia 1",19.0035269,50.2619879,19,1878.99403956374,41,258.548397328453,14,417.705900162744,14,417.705900162744,1744
25,1843.1,"Nie",42135,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4","3","mieszkalny",42.32,"1","","",78000,"18 sierpnia 4",19.004237,50.261514,23,2026.53348189862,51,349.562151064373,19,584.684188671275,19,584.684188671275,1760
26,3365.11,"Nie",42599,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4","4","mieszkalny",35.66,"1","","",120000,"18 sierpnia 4",19.004237,50.261514,23,2026.53348189862,51,349.562151064373,19,584.684188671275,19,584.684188671275,1760
27,2516.62,"Nie",42559,"umowa sprzedazy - rynek wtorny","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4","7","mieszkalny",42.12,"1","","",106000,"18 sierpnia 4",19.004237,50.261514,23,2026.53348189862,51,349.562151064373,19,584.684188671275,19,584.684188671275,1760
28,2082.15,"Nie",42559,"umowa sprzedazy - rynek wtorny","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6","3","mieszkalny",40.9,"1","","",85160,"18 sierpnia 6",19.004815,50.261322,27,1739.50434497771,67,410.327685389056,19,682.090709326871,19,682.090709326871,1713
29,3178.48,"Nie",42663,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6","3","mieszkalny",40.9,"1","","",130000,"18 sierpnia 6",19.004815,50.261322,27,1739.50434497771,67,410.327685389056,19,682.090709326871,19,682.090709326871,1713
30,2184.8,"Nie",42402,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6","11","mieszkalny",43.94,"1","","",96000,"18 sierpnia 6",19.004815,50.261322,27,1739.50434497771,67,410.327685389056,19,682.090709326871,19,682.090709326871,1713
31,2036.41,"Nie",42314,"umowa sprzedazy - rynek wtorny","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6","11","mieszkalny",43.94,"1","","",89480,"18 sierpnia 6",19.004815,50.261322,27,1739.50434497771,67,410.327685389056,19,682.090709326871,19,682.090709326871,1713
32,3002.18,"Nie",42254,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","8","14","mieszkalny",36.64,"1","","",110000,"18 sierpnia 8",19.003226,50.261338,20,2060.73827351387,37,542.169457968265,19,779.750719869633,19,779.750719869633,1780
33,3344.07,"Nie",42641,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","10A","3","mieszkalny",40.37,"1","","",135000,"18 sierpnia 10A",19.004091,50.261075,25,2253.67723429311,56,560.75148763072,19,850.004883749353,19,850.004883749353,1776
34,2026.11,"Nie",42243,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","12a","14","mieszkalny",44.42,"1","","",90000,"18 sierpnia 12a",19.003591,50.261233,21,2320.64762235937,42,535.894846756525,19,794.503018996794,19,794.503018996794,1815
35,3554.23,"Nie",42499,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4a","3","mieszkalny",43.61,"1","","",155000,"18 sierpnia 4a",19.004376,50.261465,23,1954.35191403237,56,361.436791975533,19,605.73806278699,19,605.73806278699,1748
36,1493.65,"Nie",42368,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4b","6","mieszkalny",40.17,"2","","",60000,"18 sierpnia 4b",19.0045639,50.261401,26,1860.18433573083,65,380.566115377392,19,636.984779806889,19,636.984779806889,1733
37,3083.8,"Nie",42394,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6a","6","mieszkalny",44.75,"1","","",138000,"18 sierpnia 6a",19.005022,50.2612669,30,1642.7804180957,73,436.144995233471,19,719.253829594449,19,719.253829594449,1697
39,3194.89,"Nie",42647,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6A","14","mieszkalny",43.82,"2","","",140000,"18 sierpnia 6A",19.005022,50.2612669,30,1642.7804180957,73,436.144995233471,19,719.253829594449,19,719.253829594449,1697
40,2371.54,"Nie",42172,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","8a","13","mieszkalny",37.95,"1","","",90000,"18 sierpnia 8a",19.0034579,50.2612679,20,2226.10710099893,39,537.879278277474,19,789.260522697123,19,789.260522697123,1799
41,2640.61,"Nie",42423,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","8b","2","mieszkalny",37.87,"1","","",1e+05,"18 sierpnia 8b",19.003669,50.261201,22,2384.38961474159,44,541.227417170665,19,805.572222587761,19,805.572222587761,1809
43,962.22,"Tak",42467,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","3 Maja","11","16a","mieszkalny",42.61,"1","do remontu kapitalnego","",41000,"3 Maja 11",19.018998,50.259678,65,11.6287762825482,97,3.65046939595808,16,523.309811540403,16,523.309811540403,255
44,3003,"Nie",42157,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","3 Maja","40","4","mieszkalny",53.28,"2","","",160000,"3 Maja 40",19.015973,50.259541,66,34.7662923891692,98,80.5094471927162,23,87.7227980960654,23,87.7227980960654,468
45,3268.24,"Nie",42465,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","7","14","mieszkalny",48.65,"2","","",159000,"Adama 7",19.0725899,50.2187069,7,256.093995157287,13,57.7218956432748,0,NA,0,3000,7213
46,2374.32,"Nie",42229,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","7","22","mieszkalny",61.07,"3","do remontu kapitalnego","",145000,"Adama 7",19.0725899,50.2187069,7,256.093995157287,13,57.7218956432748,0,NA,0,3000,7213
47,3078.43,"Nie",42167,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","9","13","mieszkalny",61.07,"3","","",188000,"Adama 9",19.073221,50.218669,7,217.814010137779,13,71.2968754274243,0,NA,0,3000,7245
48,3905.45,"Nie",42618,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","9","26","mieszkalny",48.65,"2","","",190000,"Adama 9",19.073221,50.218669,7,217.814010137779,13,71.2968754274243,0,NA,0,3000,7245
49,2916.18,"Nie",42158,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","11","27","mieszkalny",60.01,"3","","",175000,"Adama 11",19.073418,50.2187,7,228.319736689538,13,76.454848998677,0,NA,0,3000,7259
50,2432.93,"Nie",42172,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","13","15","mieszkalny",60.01,"3","","",146000,"Adama 13",19.073573,50.2187039,7,232.567545264111,13,86.7968968112426,0,NA,0,3000,7270
51,2940.2,"Nie",42383,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","16","31","mieszkalny",30.27,"1","","",89000,"Adama 16",19.072402,50.2171199,6,47.5764621629931,10,637.326714273439,0,NA,0,3000,7306
52,2771.89,"Nie",42192,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","17","16","mieszkalny",61.33,"3","","",170000,"Adama 17",19.073584,50.217793,6,28.9729531361194,11,341.742975798037,0,NA,0,3000,7306
53,3539.52,"Nie",42543,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","22","12","mieszkalny",59.33,"3","","",210000,"Adama 22",19.0714669,50.2170879,6,179.306576650268,11,736.53754259819,0,NA,0,3000,7369
54,1997.12,"Nie",42137,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","22","23","mieszkalny",48.57,"2","","",97000,"Adama 22",19.0714669,50.2170879,6,179.306576650268,11,736.53754259819,0,NA,0,3000,7369
55,3396.46,"Nie",42177,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","25","2","mieszkalny",48.58,"2","","",165000,"Adama 25",19.074164,50.2174769,6,39.2886960304934,9,541.122359014046,0,NA,0,3000,7367
56,3313.45,"Nie",42361,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","25","24","mieszkalny",60.36,"3","","",2e+05,"Adama 25",19.074164,50.2174769,6,39.2886960304934,9,541.122359014046,0,NA,0,3000,7367
57,2665.78,"Nie",42709,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","27","31","mieszkalny",60.02,"3","","",160000,"Adama 27",19.074164,50.2172969,6,37.2886960307238,9,629.620136788591,0,NA,0,3000,7387
58,3015.98,"Nie",42352,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","34","7","mieszkalny",61.34,"3","","",185000,"Adama 34",19.072612,50.2163289,6,151.174026650229,10,1149.52678584856,0,NA,0,3000,7412
59,3068.74,"Nie",42606,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","34","11","mieszkalny",48.88,"2","do remontu kapitalnego","",150000,"Adama 34",19.072612,50.2163289,6,151.174026650229,10,1149.52678584856,0,NA,0,3000,7412
60,2957.84,"Nie",42500,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","Giszowiec","Adama","36","12","mieszkalny",60.01,"3","","",177500,"Adama 36",19.07284,50.216358,6,130.584814491148,10,1126.15729475783,0,NA,0,3000,7395
61,2433.41,"Nie",42531,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Adamskiego  ","5","35","mieszkalny",71.6,"3","","",174232,"Adamskiego   5",19.0036539,50.2538683,14,296.529283071197,22,850.450861650968,7,174.744184059804,7,174.744184059804,1739
62,3746.4,"Nie",42184,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Adamskiego  ","9","2","mieszkalny",34.7,"1","","",130000,"Adamskiego   9",19.0018718,50.2527387,14,33.2965651412539,15,636.728123815997,10,514.189813902687,10,514.189813902687,1913
63,3541.67,"Nie",42642,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Adamskiego  ","14a","10","mieszkalny",48,"3","","",170000,"Adamskiego   14a",19.0030214,50.2530753,14,59.0755176203255,18,513.080736964547,18,202.254160250011,18,202.254160250011,1860
64,3264.15,"Nie",42551,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Centrum","Adamskiego S.","4","23","mieszkalny",49.63,"2","","",162000,"Adamskiego S. 4",19.0048,50.2542231,19,589.580597406986,39,1040.4512909707,11,161.898979133953,11,161.898979133953,1652
65,673.27,"Nie",42150,"umowa sprzedazy - rynek wtorny","skarb panstwa","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Centrum","Adamskiego S.","3b","1","mieszkalny",50.61,"2","","",34074.2,"Adamskiego S. 3b",19.0037737,50.2537824,14,275.198609144749,23,786.058849718278,10,142.734736491813,10,142.734736491813,1739
66,4830.92,"Nie",42709,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Adwentowicza","5","1","mieszkalny",76.59,"2","","",370000,"Adwentowicza 5",18.9768013,50.2300079,18,115.467583063563,25,877.100207034628,0,NA,0,3000,5285
67,4830.92,"Nie",42709,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Adwentowicza","5","2","mieszkalny",76.59,"2","","",370000,"Adwentowicza 5",18.9768013,50.2300079,18,115.467583063563,25,877.100207034628,0,NA,0,3000,5285
68,2442.53,"Tak",42521,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Agnieszki","12","1","mieszkalny",104.4,"3","","",255000,"Agnieszki 12",19.005063,50.279314,14,67.140556721629,22,5.61653676043104,6,3105.13469105062,6,3105.13469105062,3263
69,3147.26,"Nie",42550,"umowa sprzedazy - rynek wtorny","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Akacjowa","4","13","mieszkalny",21.9,"2","","",68925,"Akacjowa 4",18.994773,50.272839,15,448.568468872193,29,253.329686759192,4,2576.39194841058,4,2576.39194841058,3004
70,3342.97,"Nie",42612,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Aleja Korfantego","8","37","mieszkalny",27.67,"1","","",92500,"Aleja Korfantego 8",19.0215751,50.262465,58,204.273311173098,99,102.350886212326,15,326.947715654281,15,326.947715654281,444
71,5240.33,"Nie",42580,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Aleja Korfantego","8","54","mieszkalny",27.67,"1","","",145000,"Aleja Korfantego 8",19.0215751,50.262465,58,204.273311173098,99,102.350886212326,15,326.947715654281,15,326.947715654281,444
72,3451.48,"Tak",42228,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Aleja Korfantego","8","104","mieszkalny",64.61,"3","","",223000,"Aleja Korfantego 8",19.0215751,50.262465,58,204.273311173098,99,102.350886212326,15,326.947715654281,15,326.947715654281,444
73,4878.93,"Nie",42500,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Aleja Korfantego","8","134","mieszkalny",27.67,"1","","",135000,"Aleja Korfantego 8",19.0215751,50.262465,58,204.273311173098,99,102.350886212326,15,326.947715654281,15,326.947715654281,444
74,3457.45,"Nie",42796,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Aleja Korfantego","8","142","mieszkalny",37.6,"2","","",130000,"Aleja Korfantego 8",19.0215751,50.262465,58,204.273311173098,99,102.350886212326,15,326.947715654281,15,326.947715654281,444
75,5059.63,"Nie",42585,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Aleja Korfantego","8","191","mieszkalny",27.67,"1","","",140000,"Aleja Korfantego 8",19.0215751,50.262465,58,204.273311173098,99,102.350886212326,15,326.947715654281,15,326.947715654281,444
76,3854.57,"Nie",42541,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Aleja Korfantego","18","30","mieszkalny",18.29,"1","","",70500,"Aleja Korfantego 18",19.0207565,50.2628125,57,53.4825272093856,104,282.610471376878,15,251.516849664527,15,251.516849664527,509
77,3253.8,"Nie",42684,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Aleja Korfantego","18","41","mieszkalny",46.1,"2","","",150000,"Aleja Korfantego 18",19.0207565,50.2628125,57,53.4825272093856,104,282.610471376878,15,251.516849664527,15,251.516849664527,509
78,4246.28,"Nie",42359,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Aleja Korfantego","18","46","mieszkalny",47.1,"2","","",2e+05,"Aleja Korfantego 18",19.0207565,50.2628125,57,53.4825272093856,104,282.610471376878,15,251.516849664527,15,251.516849664527,509
79,3177.97,"Nie",42354,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Aleja Korfantego","20","2","mieszkalny",47.2,"2","","",150000,"Aleja Korfantego 20",19.0208648,50.263055,57,49.5170996819682,102,298.674775029333,15,340.19238339811,15,340.19238339811,549
80,3050.85,"Nie",42123,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Aleja Korfantego","20","2","mieszkalny",47.2,"2","","",144000,"Aleja Korfantego 20",19.0208648,50.263055,57,49.5170996819682,102,298.674775029333,15,340.19238339811,15,340.19238339811,549
