"lp.","Cena.jednostkowa.netto","Z.powierzchnia.przynalezna","Data.transakcji","Rodzaj.transakcji","Sprzedajacy","Kupujacy","Wojewodztwo","Powiat","Gmina","MiejscowoSæ","Obreb","Dzielnica","Ulica","Numer.administracyjny","Numer.lokalu","Sposob.uzytkowania.lokalu","Pow..lokalu.obliczeniowa","liczba.pokoi","Stan.techniczny.lokalu","Rok.budowy","Cena.netto","Adres","X","lon","lat"
571,"3796.3","Nie",42411,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","15","mieszkalny","39.13","1","stan developerski","lata 2010-2019","148549.07","Bazantow 41F","",18.9897138,50.2006092
572,"4027.78","Nie",42446,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","16","mieszkalny","37.66","1","stan developerski","lata 2010-2019","151686.11","Bazantow 41F","",18.9897138,50.2006092
573,"5777.82","Nie",42622,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","16","mieszkalny","37.66","1","","","217592.59","Bazantow 41F","",18.9897138,50.2006092
574,"3981.48","Nie",42418,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","17","mieszkalny","48.44","2","stan developerski","lata 2010-2019","192862.96","Bazantow 41F","",18.9897138,50.2006092
575,"4212.96","Nie",42446,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","18","mieszkalny","50.52","2","stan developerski","lata 2010-2019","212838.89","Bazantow 41F","",18.9897138,50.2006092
576,"3796.3","Nie",42411,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","19","mieszkalny","40.44","1","stan developerski","lata 2010-2019","153522.22","Bazantow 41F","",18.9897138,50.2006092
577,"3981.48","Nie",42468,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","21","mieszkalny","29.37","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","116936.11","Bazantow 41F","",18.9897138,50.2006092
578,"4027.78","Nie",42412,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","22","mieszkalny","27.9","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","112375","Bazantow 41F","",18.9897138,50.2006092
579,"4396.72","Nie",42468,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","23","mieszkalny","38.96","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","171296.3","Bazantow 41F","",18.9897138,50.2006092
580,"3796.3","Nie",42411,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","24","mieszkalny","37.53","1","stan developerski","lata 2010-2019","142475","Bazantow 41F","",18.9897138,50.2006092
581,"4166.15","Nie",42437,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","25","mieszkalny","48.33","2","stan developerski","lata 2010-2019","201350","Bazantow 41F","",18.9897138,50.2006092
582,"4351.85","Nie",42460,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","26","mieszkalny","50.38","2","stan developerski","lata 2010-2019","219246.3","Bazantow 41F","",18.9897138,50.2006092
583,"4074.07","Nie",42423,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","27","mieszkalny","40.32","1","stan developerski","lata 2010-2019","164266.67","Bazantow 41F","",18.9897138,50.2006092
584,"4074.07","Nie",42423,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","28","mieszkalny","41.97","1","stan developerski","lata 2010-2019","170988.89","Bazantow 41F","",18.9897138,50.2006092
585,"3959.82","Nie",42397,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","29","mieszkalny","29.41","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","116458.33","Bazantow 41F","",18.9897138,50.2006092
586,"3842.59","Nie",42397,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","30","mieszkalny","27.77","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","106708.8","Bazantow 41F","",18.9897138,50.2006092
587,"4074","Nie",42474,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41F","31","mieszkalny","38.87","1","stan developerski","lata 2010-2019","158356.48","Bazantow 41F","",18.9897138,50.2006092
588,"4212.96","Nie",42621,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","1","mieszkalny","30.67","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","129211.57","Bazantow 41G","",18.9897138,50.2006092
589,"4120.37","Nie",42717,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","3","mieszkalny","31.41","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","129420.83","Bazantow 41G","",18.9897138,50.2006092
590,"4435.18","Nie",42600,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","4","mieszkalny","33.09","1","stan developerski","lata 2010-2019","146760.19","Bazantow 41G","",18.9897138,50.2006092
591,"4907.41","Nie",42670,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","5","mieszkalny","37.69","1","stan developerski","lata 2010-2019","184960.19","Bazantow 41G","",18.9897138,50.2006092
592,"3981.48","Nie",42627,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","6","mieszkalny","40.96","1","stan developerski","lata 2010-2019","163081.48","Bazantow 41G","",18.9897138,50.2006092
593,"4212.96","Nie",42605,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","7","mieszkalny","42.22","1","stan developerski","lata 2010-2019","177871.3","Bazantow 41G","",18.9897138,50.2006092
594,"4351.85","Nie",42579,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","9","mieszkalny","55.39","2","stan developerski","lata 2010-2019","241049.07","Bazantow 41G","",18.9897138,50.2006092
595,"4120.37","Nie",42619,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","10","mieszkalny","54.2","2","stan developerski","lata 2010-2019","223324.07","Bazantow 41G","",18.9897138,50.2006092
596,"4212.96","Nie",42641,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","11","mieszkalny","40.28","1","stan developerski","lata 2010-2019","169698.15","Bazantow 41G","",18.9897138,50.2006092
597,"3842.59","Nie",42579,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","12","mieszkalny","41.06","1","stan developerski","lata 2010-2019","157776.85","Bazantow 41G","",18.9897138,50.2006092
598,"4340.98","Nie",42611,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","12","mieszkalny","41.06","1","","lata 2010-2019","178240.74","Bazantow 41G","",18.9897138,50.2006092
599,"4166.67","Nie",42593,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","13","mieszkalny","35.72","1","stan developerski","lata 2010-2019","148833.33","Bazantow 41G","",18.9897138,50.2006092
600,"4583.33","Nie",42628,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","16","mieszkalny","37.52","1","stan developerski","lata 2010-2019","171966.67","Bazantow 41G","",18.9897138,50.2006092
601,"4027.78","Nie",42633,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","18","mieszkalny","42.08","1","stan developerski","lata 2010-2019","169488.89","Bazantow 41G","",18.9897138,50.2006092
602,"4166.67","Nie",42641,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","19","mieszkalny","39.5","1","stan developerski","lata 2010-2019","164583.33","Bazantow 41G","",18.9897138,50.2006092
603,"4027.78","Nie",42720,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","21","mieszkalny","54.08","2","stan developerski","lata 2010-2019","217822.22","Bazantow 41G","",18.9897138,50.2006092
604,"4212.96","Nie",42646,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","22","mieszkalny","40.1","1","stan developerski","lata 2010-2019","168939.81","Bazantow 41G","",18.9897138,50.2006092
605,"4236.79","Nie",42661,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","25","mieszkalny","35.37","1","stan developerski","lata 2010-2019","149855.09","Bazantow 41G","",18.9897138,50.2006092
606,"4074.07","Nie",42593,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","28","mieszkalny","40.64","1","stan developerski","lata 2010-2019","165570.37","Bazantow 41G","",18.9897138,50.2006092
607,"4212.96","Nie",42712,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","29","mieszkalny","41.94","1","stan developerski","lata 2010-2019","176691.67","Bazantow 41G","",18.9897138,50.2006092
608,"3791.66","Nie",42569,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","32","mieszkalny","53.97","2","stan developerski","lata 2010-2019","204635.65","Bazantow 41G","",18.9897138,50.2006092
609,"3842.6","Nie",42614,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41G","33","mieszkalny","39.95","1","","lata 2010-2019","153512.04","Bazantow 41G","",18.9897138,50.2006092
610,"4351.85","Nie",42627,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","1","mieszkalny","24.68","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","107403.7","Bazantow 41H","",18.9897138,50.2006092
611,"4907.41","Nie",42627,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","2","mieszkalny","38.45","1","stan developerski","lata 2010-2019","188689.81","Bazantow 41H","",18.9897138,50.2006092
612,"4375.35","Nie",42632,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","3","mieszkalny","53.28","1","stan developerski","lata 2010-2019","233118.52","Bazantow 41H","",18.9897138,50.2006092
613,"4444.44","Nie",42712,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","4","mieszkalny","52.89","2","stan developerski","lata 2010-2019","235066.67","Bazantow 41H","",18.9897138,50.2006092
614,"3981.48","Nie",42621,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","7","mieszkalny","40.76","1","stan developerski","lata 2010-2019","162285.19","Bazantow 41H","",18.9897138,50.2006092
615,"4490.74","Nie",42705,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","10","mieszkalny","35.62","1","stan developerski","lata 2010-2019","159960.19","Bazantow 41H","",18.9897138,50.2006092
616,"4120.37","Nie",42628,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","12","mieszkalny","37.76","1","stan developerski","lata 2010-2019","155585.19","Bazantow 41H","",18.9897138,50.2006092
617,"4212.96","Nie",42725,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","14","mieszkalny","31.2","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","131444.44","Bazantow 41H","",18.9897138,50.2006092
618,"4412.55","Nie",42690,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","15","mieszkalny","52.72","2","stan developerski","lata 2010-2019","232629.63","Bazantow 41H","",18.9897138,50.2006092
619,"4120.37","Nie",42615,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","20","mieszkalny","29.48","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","121468.52","Bazantow 41H","",18.9897138,50.2006092
620,"4212.96","Nie",42628,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","21","mieszkalny","26.96","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","113581.48","Bazantow 41H","",18.9897138,50.2006092
621,"4027.78","Tak",42627,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","23","mieszkalny","42.26","1","stan developerski","lata 2010-2019","170213.89","Bazantow 41H","",18.9897138,50.2006092
622,"4212.96","Nie",42598,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","26","mieszkalny","52.57","2","stan developerski","lata 2010-2019","221475.46","Bazantow 41H","",18.9897138,50.2006092
623,"4120.37","Nie",42628,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","27","mieszkalny","36.12","1","stan developerski","lata 2010-2019","148827.78","Bazantow 41H","",18.9897138,50.2006092
624,"3796.3","Nie",42627,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","29","mieszkalny","40.44","1","stan developerski","lata 2010-2019","153522.22","Bazantow 41H","",18.9897138,50.2006092
625,"4074.07","Nie",42691,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","30","mieszkalny","39.06","1","stan developerski","lata 2010-2019","159133.33","Bazantow 41H","",18.9897138,50.2006092
626,"3981.48","Nie",42619,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","31","mieszkalny","29.36","pokoj z aneksem kuchennym:1","stan developerski","lata 2010-2019","116896.3","Bazantow 41H","",18.9897138,50.2006092
627,"4351.85","Nie",42716,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","33","mieszkalny","35.29","1","stan developerski","lata 2010-2019","153576.85","Bazantow 41H","",18.9897138,50.2006092
628,"4212.96","Tak",42593,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41H","34","mieszkalny","42.11","1","stan developerski","lata 2010-2019","177407.87","Bazantow 41H","",18.9897138,50.2006092
629,"4305.57","Nie",42709,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","3","mieszkalny","51.34","2","stan developerski","lata 2010-2019","221048.22","Bazantow 41I","",18.9897138,50.2006092
630,"2514.62","Nie",42709,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","8","mieszkalny","51.7","2","stan developerski","lata 2010-2019","130005.63","Bazantow 41I","",18.9897138,50.2006092
631,"4212.99","Nie",42717,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","13","mieszkalny","35.72","1","stan developerski","lata 2010-2019","150488.04","Bazantow 41I","",18.9897138,50.2006092
632,"4166.69","Nie",42703,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","15","mieszkalny","41.12","1","stan developerski","lata 2010-2019","171334.33","Bazantow 41I","",18.9897138,50.2006092
633,"4305.57","Nie",42712,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","19","mieszkalny","51.55","2","stan developerski","lata 2010-2019","221952.39","Bazantow 41I","",18.9897138,50.2006092
634,"4444.47","Nie",42711,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","23","mieszkalny","33.53","1","stan developerski","lata 2010-2019","149023.22","Bazantow 41I","",18.9897138,50.2006092
635,"4074.13","Nie",42709,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","24","mieszkalny","35.57","1","stan developerski","lata 2010-2019","144916.81","Bazantow 41I","",18.9897138,50.2006092
636,"4305.58","Nie",42690,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","27","mieszkalny","41.02","1","stan developerski","lata 2010-2019","176614.89","Bazantow 41I","",18.9897138,50.2006092
637,"4176.88","Nie",42709,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","28","mieszkalny","41.9","1","stan developerski","lata 2010-2019","175011.26","Bazantow 41I","",18.9897138,50.2006092
638,"4120.39","Nie",42774,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","30","mieszkalny","51.4","2","stan developerski","lata 2010-2019","211788.04","Bazantow 41I","",18.9897138,50.2006092
639,"4166.67","Nie",42696,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","31","mieszkalny","50.97","2","stan developerski","lata 2010-2019","212375","Bazantow 41I","",18.9897138,50.2006092
640,"4486.11","Nie",42690,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","32","mieszkalny","35.04","1","stan developerski","lata 2010-2019","157193.33","Bazantow 41I","",18.9897138,50.2006092
641,"4166.69","Nie",42717,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","35","mieszkalny","35.43","1","stan developerski","lata 2010-2019","147626","Bazantow 41I","",18.9897138,50.2006092
642,"4120.36","Nie",42691,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","36","mieszkalny","50.97","2","stan developerski","lata 2010-2019","210014.81","Bazantow 41I","",18.9897138,50.2006092
643,"4305.58","Nie",42703,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","42","mieszkalny","50.84","2","stan developerski","lata 2010-2019","218895.44","Bazantow 41I","",18.9897138,50.2006092
644,"4537.04","Nie",42690,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41I","43","mieszkalny","34.89","1","stan developerski","lata 2010-2019","158297.22","Bazantow 41I","",18.9897138,50.2006092
645,"4120.4","Nie",42705,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","1","mieszkalny","35.4","1","stan developerski","lata 2010-2019","145862.11","Bazantow 41J","",18.9897138,50.2006092
646,"4398.17","Nie",42706,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","4","mieszkalny","51.3","2","stan developerski","lata 2010-2019","225626","Bazantow 41J","",18.9897138,50.2006092
647,"4398.18","Nie",42705,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","9","mieszkalny","35.36","1","stan developerski","lata 2010-2019","155519.52","Bazantow 41J","",18.9897138,50.2006092
648,"4074.07","Nie",42690,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","13","mieszkalny","34.29","1","stan developerski","lata 2010-2019","139700","Bazantow 41J","",18.9897138,50.2006092
649,"4074.09","Nie",42705,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","14","mieszkalny","51.12","2","stan developerski","lata 2010-2019","208267.67","Bazantow 41J","",18.9897138,50.2006092
650,"4361.14","Nie",42705,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","18","mieszkalny","37.5","1","stan developerski","lata 2010-2019","163542.67","Bazantow 41J","",18.9897138,50.2006092
651,"4259.28","Nie",42704,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","20","mieszkalny","51.25","1","stan developerski","lata 2010-2019","218288.04","Bazantow 41J","",18.9897138,50.2006092
652,"4074.07","Nie",42717,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","22","mieszkalny","35.12","1","stan developerski","lata 2010-2019","143081.48","Bazantow 41J","",18.9897138,50.2006092
653,"3981.51","Nie",42720,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","32","mieszkalny","41.55","1","stan developerski","lata 2010-2019","165431.56","Bazantow 41J","",18.9897138,50.2006092
654,"4897.01","Nie",42705,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","33","mieszkalny","34.98","1","stan developerski","lata 2010-2019","171297.3","Bazantow 41J","",18.9897138,50.2006092
655,"4444.47","Nie",42711,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","41J","36","mieszkalny","34.93","1","stan developerski","lata 2010-2019","155245.44","Bazantow 41J","",18.9897138,50.2006092
656,"4146.92","Nie",42215,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","Bazantow","47a","14","mieszkalny","55.82","2","","lata 2010-2019","231481","Bazantow 47a","",18.9905729,50.2006813
657,"2847.97","Nie",42170,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Bednorza","24","1","mieszkalny","46.7","2","","","133000","Bednorza 24","",19.090568,50.2636745
658,"2847.97","Nie",42170,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Bednorza","24","1","mieszkalny","46.7","2","","","133000","Bednorza 24","",19.090568,50.2636745
659,"2847.97","Nie",42170,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Bednorza","24","1","mieszkalny","46.7","2","","","133000","Bednorza 24","",19.090568,50.2636745
660,"1556.42","Tak",42157,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Bednorza","26","7","mieszkalny","59.11","2","","","92000","Bednorza 26","",19.0904043,50.2636897
661,"2119.91","Nie",42662,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Bednorza","30","2","mieszkalny","46.7","2","","","99000","Bednorza 30","",19.0900477,50.263749
662,"2028.4","Nie",42359,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Bednorza","32","3","mieszkalny","49.3","2","do remontu","","100000","Bednorza 32","",19.0899565,50.2639488
663,"2028.4","Nie",42359,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Bednorza","32","3","mieszkalny","49.3","2","","","100000","Bednorza 32","",19.0899565,50.2639488
664,"2028.4","Nie",42359,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Bednorza","32","3","mieszkalny","49.3","2","","","100000","Bednorza 32","",19.0899565,50.2639488
