name,type,lat,lon
NA,NA,50.2457248,19.011383
NA,NA,50.2457464,19.011402
NA,NA,50.2457818,19.0108729
NA,NA,50.2457858,19.0108644
NA,NA,50.2457891,19.0114424
NA,NA,50.2458217,19.0114723
NA,NA,50.2459174,19.0115558
NA,NA,50.2460895,19.0117286
NA,NA,50.2460935,19.0117169
NA,NA,50.2461521,19.0117844
NA,NA,50.2462481,19.0112975
NA,NA,50.2462535,19.0112831
NA,NA,50.2463162,19.0113401
NA,NA,50.2618587,19.0263271
NA,NA,50.2618601,19.0263276
NA,NA,50.2618748,19.0263325
NA,NA,50.2619213,19.0258758
NA,NA,50.2619384,19.0263537
NA,NA,50.2619575,19.0262046
NA,NA,50.2620239,19.026278
NA,NA,50.2620308,19.0262289
NA,NA,50.2620679,19.0262924
NA,NA,50.262118,19.0259359
NA,NA,50.2835228,19.0171631
NA,NA,50.2835972,19.0175773
NA,NA,50.2837879,19.017047
NA,NA,50.2838624,19.0174612
NA,NA,50.2467352,19.0396093
NA,NA,50.2467386,19.0391534
NA,NA,50.2467928,19.0387047
NA,NA,50.2467884,19.0391675
NA,NA,50.2468822,19.0397382
NA,NA,50.246892,19.0396551
NA,NA,50.2469553,19.0397596
NA,NA,50.2470738,19.0387831
NA,NA,50.2469314,19.0397526
NA,NA,50.2535134,19.0401179
NA,NA,50.2535145,19.0402479
NA,NA,50.2535266,19.0401216
NA,NA,50.253569,19.0395212
NA,NA,50.2536955,19.04029
NA,NA,50.2537636,19.0395658
NA,NA,50.2595237,19.0367699
NA,NA,50.2595174,19.0371397
NA,NA,50.2591751,19.0371961
NA,NA,50.2595397,19.0370291
NA,NA,50.2588946,19.036871
NA,NA,50.2589144,19.037165
NA,NA,50.2591712,19.0371277
NA,NA,50.2586865,19.0426825
NA,NA,50.2586634,19.0424958
NA,NA,50.2588772,19.042431
NA,NA,50.2589003,19.0426177
NA,NA,50.258894,19.0425561
NA,NA,50.2589461,19.0425235
NA,NA,50.2589076,19.0423688
NA,NA,50.258869,19.0423932
NA,NA,50.2587697,19.0424636
NA,NA,50.2706881,19.0412797
