name,lat,lon
Centrum Rehabilitacji i Medycyny Naturalnej,50.2420221,19.1354548
NUBAX - polska,50.2419605,19.1355471
Apteka,50.290367,18.9668269
Śląskie centrum dializ Nefromed,50.2248497,18.9581649
Magiczna,50.2773653,19.0083072
Rezonans,50.3019397,19.0197819
InviMed,50.2304307,18.9714544
Isofarm,50.2310738,18.9732457
Apteka książęca,50.2261855,18.969725
Centrum Medyczno Rehabilitacyjne,50.2356253,18.9774771
NA,50.2996523,18.9327454
NA,50.2783883,18.9774872
Pol-Sana-Med,50.3181959,19.0724908
Lykos,50.2108163,18.9739513
Apteka Główna,50.2590606,19.018408
Centrum Medyczne LUX MED,50.2639668,19.0196016
Słoneczna,50.275262,18.9837758
Centrum Medyczne Panewniki,50.2294021,18.9424026
Nova,50.2593738,18.9751836
Prywatna praktyka dentystyczna,50.2722259,18.936433
Apteka Pod kwiatami,50.2629059,19.0949811
Apteka Pod Wagą,50.272515,18.9297711
Apteka Przy Rondzie,50.2707131,18.9313086
Apteka,50.2738712,18.9396159
Apteka,50.2739364,18.9275867
Apteka Pod Lwem,50.2753921,18.9367057
Apteka Blisko Ciebie,50.3211919,19.130191
NZOZ Puls-Med,50.2770002,19.0667529
Dental Care,50.230989,18.9900313
NA,50.231207,18.9960445
Apteka,50.3200842,19.1299311
Specjalistyczne Gabinety Lekarskie,50.3181045,19.0732086
Apteka,50.3195279,19.1560617
Apteka,50.3216395,19.1570397
Medycyna Dąb,50.2758437,19.0009226
Citistom,50.27635,18.9770555
NZOZ Poradnia Ogólna IRYS-MED,50.2934056,18.9468175
NZOZ Centrum Medyczne,50.2939563,18.9496316
Apteka Dr.Max,50.2561536,19.0219364
Zespół Poradni Specjalistycznych nr 2,50.3051227,18.913139
NA,50.2424963,19.1377734
Dentico,50.2473544,19.1311897
ZOZ EPIONE,50.2275301,18.9703611
Klinika Chirurgii Mazan,50.2759885,19.0312199
Apteka Dbam o zdrowie,50.2561384,19.024338
Dental-Service,50.2544337,19.0364989
Słoneczna,50.2924491,18.9162806
NA,50.2732718,19.1250251
Apteka Blisko Ciebie,50.2720288,19.1285418
NA,50.2685313,19.1309411
Apteka Centrum,50.2736829,19.132137
Apteka Blisko Centrum,50.2780407,19.1278477
Apteka na Al. Zwycięstwa,50.2789792,19.1302519
Apteka im. Ignacego Łukasiewicza,50.277567,19.1310258
Apteka Pod Ratuszem,50.2785531,19.1343172
Apteka Pogońska,50.2867658,19.122776
